""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"sublime1"	1	0	0	1	0
"subitus"	1	0	0	0	1
"subito"	0	0	0	0	1
"subinus"	0	0	0	0	1
"subigo"	1	0	0	0	0
"subiecto"	0	0	0	0	1
"subicio"	0	1	0	0	0
"subaxo"	0	0	0	0	1
"sub"	4	1	0	0	3
"suauiso"	0	0	0	1	0
"suauis"	1	0	0	0	0
"stuprum"	1	0	0	0	0
"stupidus"	1	0	0	0	0
"stupiditas"	1	0	0	0	0
"stupeo"	1	0	0	0	0
"studium"	1	0	0	0	1
"studiosus"	1	0	0	0	0
"stridor"	1	0	0	0	1
"strido"	0	0	0	0	1
"strepitus"	0	1	0	0	0
"strages"	1	0	0	0	0
"stolide"	0	1	0	0	0
"sto"	3	2	0	0	0
"stirps"	5	0	0	0	2
"stimulo"	1	0	0	0	0
"sterilis"	2	0	0	0	0
"stella"	1	2	0	0	0
"statura"	1	0	0	0	0
"statuo"	1	0	0	0	0
"stagnum1"	2	0	0	0	0
"stabulum"	1	0	0	0	3
"stabilimen"	1	0	0	0	0
"squama"	0	1	0	0	0
"squalitudo"	1	0	0	0	0
"squalitas"	1	0	0	0	0
"squales"	0	0	0	0	1
"squala"	0	1	0	0	0
"spumo"	0	1	0	0	0
"splendidus"	0	1	0	0	0
"splendeo"	1	0	0	0	0
"spisse"	0	0	0	0	1
"spiritus"	1	1	0	0	0
"spes"	3	0	0	0	0
"sperno"	1	1	0	0	0
"specus"	1	1	0	0	2
"spectus"	0	0	0	0	1
"specto"	0	1	0	0	0
"species"	2	0	1	0	0
"spatium"	0	0	0	0	1
"spargo2"	0	1	0	0	0
"sospito"	0	0	0	0	1
"sors"	1	0	0	0	0
"sordidus"	0	1	0	0	0
"sonus"	0	0	0	0	1
"sono1"	4	1	0	0	1
"sonitus"	2	2	0	1	1
"sonitum"	0	0	0	0	1
"sonio"	0	1	0	0	0
"somnus"	1	0	0	0	1
"solus"	0	0	0	1	2
"sollicitus"	0	0	0	0	2
